,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
78,sh000093,180分层,11767.7335,-113.189,-0.953,11880.9222,11847.6596,11894.9439,11751.071,105988661,164447975189
79,sh000094,上证上游,3002.2899,-14.303,-0.474,3016.5928,3015.467,3045.7526,2993.7329,29436717,30722307950
80,sh000095,上证中游,3204.5165,-42.835,-1.319,3247.352,3239.5643,3241.9211,3202.897,61874588,99638977010
81,sh000096,上证下游,5142.3753,22.377,0.437,5119.9979,5106.6006,5161.9274,5087.6612,50742350,100115167294
82,sh000097,高端装备,9078.3701,-101.17,-1.102,9179.5405,9172.3287,9175.6472,9072.9218,13921679,43185621197
83,sh000098,上证F200,4584.2186,-7.942,-0.173,4592.1607,4579.7957,4605.2294,4569.8304,127700307,129309925905
84,sh000099,上证F300,8039.2069,-17.274,-0.214,8056.4808,8053.1635,8081.1885,8020.7198,75480784,90564367691
85,sh000100,上证F500,5214.5098,-9.37,-0.179,5223.8803,5211.6614,5238.3752,5198.9699,203181092,219874293596
86,sh000101,5年信用,227.1462,0.017,0.008,227.129,227.1493,227.1501,227.1443,704196,718905516
87,sh000102,沪投资品,6344.3975,-26.313,-0.413,6370.7109,6372.1543,6399.2026,6331.6839,19368028,30876414643
88,sh000103,沪消费品,11247.9197,179.754,1.624,11068.1658,11056.8963,11258.1692,10998.7271,5928540,30682668966
89,sh000104,380能源,1602.9503,-2.443,-0.152,1605.3937,1607.5757,1624.2055,1600.7735,3377543,2514642758
90,sh000105,380材料,4617.7905,-25.834,-0.556,4643.6243,4643.3561,4652.8191,4612.6684,7644451,9449555479
91,sh000106,380工业,5523.6877,-6.09,-0.11,5529.7774,5527.2649,5537.1011,5502.8996,20471849,20808751696
92,sh000107,380可选,5598.3401,-28.994,-0.515,5627.3342,5630.3059,5632.1546,5585.3812,1987784,5742469505
93,sh000108,380消费,15775.7141,181.708,1.165,15594.0064,15695.9802,15865.1572,15612.5688,989793,2781006685
94,sh000109,380医药,12690.3952,239.905,1.927,12450.4906,12438.1516,12707.8676,12342.7639,2682742,8287124151
95,sh000110,380金融,2844.9126,-0.949,-0.033,2845.862,2845.0521,2857.4542,2834.8912,4390484,2505451637
96,sh000111,380信息,8345.6435,-262.51,-3.05,8608.1535,8589.0414,8613.5508,8342.728,7488740,21827965751
97,sh000112,380电信,5862.8322,7.521,0.128,5855.3115,5866.7739,6019.0996,5855.7828,6378672,14666272720
98,sh000113,380公用,2525.8932,8.271,0.329,2517.6219,2523.3643,2537.5096,2516.0785,3532590,2306632841
99,sh000114,持续产业,1556.5035,-6.131,-0.392,1562.635,1565.0927,1570.4623,1555.1167,15548611,15843644088
100,sh000115,380等权,8060.6003,-27.495,-0.34,8088.0952,8083.6335,8110.9837,8054.1026,60709351,92951761067
101,sh000116,信用100,187.185,0.099,0.053,187.0856,187.1037,187.2544,187.1037,545355,535037817
102,sh000117,380成长,4903.2139,-18.808,-0.382,4922.0222,4931.6322,4932.8265,4902.2412,10373529,28033564574
103,sh000118,380价值,8604.8642,23.876,0.278,8580.9884,8590.0293,8630.1241,8571.6835,24850169,18666254345
104,sh000119,380R成长,4505.5284,-29.415,-0.649,4534.943,4535.2373,4535.9993,4504.4305,39455872,77797522496
105,sh000120,380R价值,8018.6014,-9.919,-0.124,8028.5199,8025.5558,8055.9387,8004.1938,53932512,68430212267
106,sh000121,医药主题,10829.443,188.63,1.773,10640.8131,10637.1696,10848.6553,10563.7024,5227001,19626804699
107,sh000122,农业主题,1865.1807,-8.543,-0.456,1873.7233,1869.4393,1878.2658,1860.9431,3360698,3628748187
108,sh000123,180动态,6481.4933,-41.256,-0.632,6522.7494,6510.1285,6530.4329,6475.1908,39167694,75751645251
109,sh000125,180稳定,10541.4715,-10.866,-0.103,10552.3376,10520.5932,10578.205,10496.7584,66820967,88696329938
110,sh000126,消费50,9728.036,24.487,0.252,9703.5492,9689.6723,9750.8571,9641.8509,5082885,24074367860
111,sh000128,380基本,7876.3824,5.935,0.075,7870.4479,7872.5936,7905.2333,7861.2641,60709351,92951761067
112,sh000129,180波动,13407.5611,-61.081,-0.454,13468.6422,13431.1613,13496.8467,13371.2635,81634890,93797977671
113,sh000130,380波动,11622.5838,10.282,0.089,11612.3017,11623.9673,11676.1609,11598.5652,28397893,22825767508
