,基金代码,拼音缩写,基金简称,基金类型,拼音全称
16169,161727,ZSZRHHLOF,招商增荣混合(LOF),混合型-灵活,ZHAOSHANGZENGRONGHUNHELOF
16170,161728,ZSRZYXHHLOF,招商瑞智优选混合(LOF),混合型-灵活,ZHAOSHANGRUIZHIYOUXUANHUNHELOF
16171,161729,ZSRLLHPZHHLOFA,招商瑞利灵活配置混合(LOF)A,混合型-灵活,ZHAOSHANGRUILILINGHUOPEIZHIHUNHELOFA
16172,161730,ZSZXWJPZYNFBHHFOFLOFA,招商智星稳健配置一年封闭混合(FOF-LOF)A,FOF,ZHAOSHANGZHIXINGWENJIANPEIZHIYINIANFENGBIHUNHEFOFLOFA
16173,161810,YHNXJXHHLOF,银华内需精选混合(LOF),混合型-偏股,YINHUANEIXUJINGXUANHUNHELOF
16174,161811,YHHS300ZSLOF,银华沪深300指数(LOF),指数型-股票,YINHUAHUSHEN300ZHISHULOF
16175,161812,YHSZ100ZSLOF,银华深证100指数(LOF),指数型-股票,YINHUASHENZHENG100ZHISHULOF
16176,161815,YHKTZZT,银华抗通胀主题,QDII,YINHUAKANGTONGZHANGZHUTI
16177,161816,YHZZDQZ90ZSLOF,银华中证等权重90指数(LOF),指数型-股票,YINHUAZHONGZHENGDENGQUANZHONG90ZHISHULOF
16178,161818,YHXFZTHHA,银华消费主题混合A,混合型-偏股,YINHUAXIAOFEIZHUTIHUNHEA
16179,161820,YHCZXYZQLOF,银华纯债信用债券(LOF),债券型-长债,YINHUACHUNZHAIXINYONGZHAIQUANLOF
16180,161831,YHHSZGQYZS,银华恒生中国企业指数,QDII,YINHUAHENGSHENGZHONGGUOQIYEZHISHU
16181,161834,YHXRLHPZHHLOFA,银华鑫锐灵活配置混合(LOF)A,混合型-灵活,YINHUAXINRUILINGHUOPEIZHIHUNHELOFA
16182,161837,YHDPLNDKHH,银华大盘两年定开混合,混合型-偏股,YINHUADAPANLIANGNIANDINGKAIHUNHE
16183,161838,YHCYBLNDQKFHH,银华创业板两年定期开放混合,混合型-偏股,YINHUACHUANGYEBANLIANGNIANDINGQIKAIFANGHUNHE
16184,161902,WJZQSYZQ,万家增强收益债券,债券型-混合债,WANJIAZENGQIANGSHOUYIZHAIQUAN
16185,161903,WJHYYXHHLOF,万家行业优选混合(LOF),混合型-偏股,WANJIAHANGYEYOUXUANHUNHELOF
16186,161907,WJZZHLZSLOFA,万家中证红利指数(LOF)A,指数型-股票,WANJIAZHONGZHENGHONGLIZHISHULOFA
16187,161908,WJTLZQLOF,万家添利债券(LOF),债券型-混合债,WANJIATIANLIZHAIQUANLOF
16188,161910,WJXJYJZQDA,万家新机遇价值驱动A,混合型-灵活,WANJIAXINJIYUJIAZHIQUDONGA
16189,161911,WJQHSYDKZ,万家强化收益定开债,债券型-长债,WANJIAQIANGHUASHOUYIDINGKAIZHAI
16190,161912,WJSHZR18GYDKA,万家社会责任18个月定开A,混合型-偏股,WANJIASHEHUIZEREN18GEYUEDINGKAIA
16191,161913,WJSHZR18GYDKC,万家社会责任18个月定开C,混合型-偏股,WANJIASHEHUIZEREN18GEYUEDINGKAIC
16192,161914,WJCYB2NDQKFHHA,万家创业板2年定期开放混合A,混合型-偏股,WANJIACHUANGYEBAN2NIANDINGQIKAIFANGHUNHEA
16193,161915,WJCYB2NDQKFHHC,万家创业板2年定期开放混合C,混合型-偏股,WANJIACHUANGYEBAN2NIANDINGQIKAIFANGHUNHEC
16194,162006,CCJFHHLOFA,长城久富混合(LOF)A,混合型-偏股,CHANGCHENGJIUFUHUNHELOFA
16195,162102,JYZXPJXHH,金鹰中小盘精选混合,混合型-偏股,JINYINGZHONGXIAOPANJINGXUANHUNHE
16196,162105,JYCJZLZQLOFC,金鹰持久增利债券(LOF)C,债券型-混合债,JINYINGCHIJIUZENGLIZHAIQUANLOFC
16197,162107,JYXJZZGPLOFA,金鹰先进制造股票(LOF)A,股票型,JINYINGXIANJINZHIZAOGUPIAOLOFA
16198,162108,JYYSZQXFQSC,金鹰元盛债券型发起式C,债券型-长债,JINYINGYUANSHENGZHAIQUANXINGFAQISHIC
16199,162201,TDHLCZHH,泰达宏利成长混合,混合型-灵活,TAIDAHONGLICHENGZHANGHUNHE
16200,162202,TDHLZQHH,泰达宏利周期混合,混合型-偏股,TAIDAHONGLIZHOUQIHUNHE
16201,162203,TDHLWDHH,泰达宏利稳定混合,混合型-偏股,TAIDAHONGLIWENDINGHUNHE
16202,162204,TDHLHYHHA,泰达宏利行业混合A,混合型-偏股,TAIDAHONGLIHANGYEHUNHEA
16203,162205,TDHLFXYSHH,泰达宏利风险预算混合,混合型-偏债,TAIDAHONGLIFENGXIANYUSUANHUNHE
16204,162206,TDHLHBA,泰达宏利货币A,货币型,TAIDAHONGLIHUOBIA
16205,162207,TDHLXLYXHH,泰达宏利效率优选混合,混合型-偏股,TAIDAHONGLIXIAOLVYOUXUANHUNHE
16206,162208,TDHLSXQYGPA,泰达宏利首选企业股票A,股票型,TAIDAHONGLISHOUXUANQIYEGUPIAOA
16207,162209,TDHLSZYXHH,泰达宏利市值优选混合,混合型-偏股,TAIDAHONGLISHIZHIYOUXUANHUNHE
16208,162210,TDHLJLZQA,泰达宏利集利债券A,债券型-混合债,TAIDAHONGLIJILIZHAIQUANA
16209,162211,TDHLPZSHHH,泰达宏利品质生活混合,混合型-灵活,TAIDAHONGLIPINZHISHENGHUOHUNHE
16210,162212,TDHLHLXFHHA,泰达宏利红利先锋混合A,混合型-偏股,TAIDAHONGLIHONGLIXIANFENGHUNHEA
16211,162213,TDHLHS300ZSZQA,泰达宏利沪深300指数增强A,指数型-股票,TAIDAHONGLIHUSHEN300ZHISHUZENGQIANGA
16212,162214,TDHLLXZXPHH,泰达宏利领先中小盘混合,混合型-偏股,TAIDAHONGLILINGXIANZHONGXIAOPANHUNHE
16213,162215,TDHLJLZQLOF,泰达宏利聚利债券(LOF),债券型-混合债,TAIDAHONGLIJULIZHAIQUANLOF
16214,162216,TDZZ500ZSZQLOF,泰达中证500指数增强(LOF),指数型-股票,TAIDAZHONGZHENG500ZHISHUZENGQIANGLOF
16215,162299,TDHLJLZQC,泰达宏利集利债券C,债券型-混合债,TAIDAHONGLIJILIZHAIQUANC
16216,162307,HFTZZ100ZSLOFA,海富通中证100指数(LOF)A,指数型-股票,HAIFUTONGZHONGZHENG100ZHISHULOFA
16217,162411,HBBPYQSYGPRMBA,华宝标普油气上游股票人民币A,QDII,HUABAOBIAOPUYOUQISHANGYOUGUPIAORENMINBIA
16218,162412,HBYLETFLJA,华宝医疗ETF联接A,指数型-股票,HUABAOYILIAOETFLIANJIEA
16219,162413,HBZZ1000ZSA,华宝中证1000指数A,指数型-股票,HUABAOZHONGZHENG1000ZHISHUA
16220,162414,HBXJYHHLOFA,华宝新机遇混合(LOF)A,混合型-灵活,HUABAOXINJIYUHUNHELOFA
16221,162415,HBBPMGXFRMBA,华宝标普美国消费人民币A,QDII,HUABAOBIAOPUMEIGUOXIAOFEIRENMINBIA
16222,162416,HBGGTHSXG35,华宝港股通恒生香港35,指数型-股票,HUABAOGANGGUTONGHENGSHENGXIANGGANG35
16223,162509,GLAZZ100ZSLOF,国联安中证100指数(LOF),指数型-股票,GUOLIANANZHONGZHENG100ZHISHULOF
16224,162511,GLASJXYZQLOF,国联安双佳信用债券(LOF),债券型-混合债,GUOLIANANSHUANGJIAXINYONGZHAIQUANLOF
16225,162605,JSCCDYHHLOF,景顺长城鼎益混合(LOF),混合型-偏股,JINGSHUNCHANGCHENGDINGYIHUNHELOF
16226,162606,JSCCDYHHLOF,景顺长城鼎益混合(LOF)(后端),混合型-偏股,JINGSHUNCHANGCHENGDINGYIHUNHELOF
16227,162607,JSCCZYLDHH,景顺长城资源垄断混合,混合型-偏股,JINGSHUNCHANGCHENGZIYUANLONGDUANHUNHE
16228,162703,GFXPCZHHLOFA,广发小盘成长混合(LOF)A,混合型-偏股,GUANGFAXIAOPANCHENGZHANGHUNHELOFA
16229,162711,GFZZ500ETFLJA,广发中证500ETF联接A,指数型-股票,GUANGFAZHONGZHENG500ETFLIANJIEA
16230,162712,GFJLZQLOFA,广发聚利债券(LOF)A,债券型-混合债,GUANGFAJULIZHAIQUANLOFA
16231,162713,GFZZ500ETFLJA,广发中证500ETF联接A(后端),指数型-股票,GUANGFAZHONGZHENG500ETFLIANJIEA
16232,162714,GFSZ100ZSLOFA,广发深证100指数(LOF)A,指数型-股票,GUANGFASHENZHENG100ZHISHULOFA
16233,162715,GFJYZQLOFA,广发聚源债券(LOF)A,债券型-长债,GUANGFAJUYUANZHAIQUANLOFA
16234,162716,GFJYZQLOFC,广发聚源债券(LOF)C,债券型-长债,GUANGFAJUYUANZHAIQUANLOFC
16235,162717,GFCZXDNHHA,广发成长新动能混合A,混合型-偏股,GUANGFACHENGZHANGXINDONGNENGHUNHEA
16236,162719,GFDQSSYZSRMBA,广发道琼斯石油指数人民币A,QDII,GUANGFADAOQIONGSISHIYOUZHISHURENMINBIA
16237,162720,GFCYBLNDKHH,广发创业板两年定开混合,混合型-偏股,GUANGFACHUANGYEBANLIANGNIANDINGKAIHUNHE
16238,162721,GFJJYSYNFBHHFOFLOFA,广发积极优势一年封闭混合(FOF-LOF)A,FOF,GUANGFAJIJIYOUSHIYINIANFENGBIHUNHEFOFLOFA
16239,163001,CXYLBJHHLOFA,长信医疗保健混合(LOF)A,混合型-灵活,CHANGXINYILIAOBAOJIANHUNHELOFA
16240,163003,CXLXZQLOFC,长信利鑫债券(LOF)C,债券型-混合债,CHANGXINLIXINZHAIQUANLOFC
16241,163005,CXLZZQLOFC,长信利众债券(LOF)C,债券型-混合债,CHANGXINLIZHONGZHAIQUANLOFC
16242,163007,CXLZZQLOFA,长信利众债券(LOF)A,债券型-混合债,CHANGXINLIZHONGZHAIQUANLOFA
16243,163008,CXLXZQLOFA,长信利鑫债券(LOF)A,债券型-混合债,CHANGXINLIXINZHAIQUANLOFA
16244,163109,SWLXSZCFZSLOFA,申万菱信深证成份指数(LOF)A,指数型-股票,SHENWANLINGXINSHENZHENGCHENGFENZHISHULOFA
16245,163110,SWLXLHXPGPLOFA,申万菱信量化小盘股票(LOF)A,股票型,SHENWANLINGXINLIANGHUAXIAOPANGUPIAOLOFA
16246,163111,SWLXZXQY100ZSLOFA,申万菱信中小企业100指数(LOF)A,指数型-股票,SHENWANLINGXINZHONGXIAOQIYE100ZHISHULOFA
16247,163113,SWLXZZSWZQHYZSLOFA,申万菱信中证申万证券行业指数(LOF)A,指数型-股票,SHENWANLINGXINZHONGZHENGSHENWANZHENGQUANHANGYEZHISHULOFA
16248,163114,SWLXZZHBCYZSLOFA,申万菱信中证环保产业指数(LOF)A,指数型-股票,SHENWANLINGXINZHONGZHENGHUANBAOCHANYEZHISHULOFA
16249,163115,SWLXZZJGZSLOFA,申万菱信中证军工指数(LOF)A,指数型-股票,SHENWANLINGXINZHONGZHENGJUNGONGZHISHULOFA
16250,163116,SWZZSWDZHYTZZSLOFA,申万中证申万电子行业投资指数(LOF)A,指数型-股票,SHENWANZHONGZHENGSHENWANDIANZIHANGYETOUZIZHISHULOFA
16251,163118,SWLXZZSWYYSWZSLOFA,申万菱信中证申万医药生物指数(LOF)A,指数型-股票,SHENWANLINGXINZHONGZHENGSHENWANYIYAOSHENGWUZHISHULOFA
16252,163208,NAYQNY,诺安油气能源,QDII,NUOANYOUQINENGYUAN
16253,163209,NACYBZSZQLOFA,诺安创业板指数增强(LOF)A,指数型-股票,NUOANCHUANGYEBANZHISHUZENGQIANGLOFA
16254,163302,DMZYYXHHLOF,大摩资源优选混合(LOF),混合型-灵活,DAMOZIYUANYOUXUANHUNHELOF
16255,163402,XQQSTZHHLOF,兴全趋势投资混合(LOF),混合型-灵活,XINGQUANQUSHITOUZIHUNHELOF
16256,163403,XQQSTZHHLOF,兴全趋势投资混合(LOF)(后端),混合型-灵活,XINGQUANQUSHITOUZIHUNHELOF
16257,163406,XQHRHHLOF,兴全合润混合(LOF),混合型-偏股,XINGQUANHERUNHUNHELOF
16258,163407,XQHS300ZSLOFA,兴全沪深300指数(LOF)A,指数型-股票,XINGQUANHUSHEN300ZHISHULOFA
16259,163408,XQHS300ZSLOFA,兴全沪深300指数(LOF)A(后端),指数型-股票,XINGQUANHUSHEN300ZHISHULOFA
16260,163409,XQLSTZHHLOF,兴全绿色投资混合(LOF),混合型-偏股,XINGQUANLVSETOUZIHUNHELOF
16261,163410,XQLSTZHHLOF,兴全绿色投资混合(LOF)(后端),混合型-偏股,XINGQUANLVSETOUZIHUNHELOF
16262,163411,XQJXHH,兴全精选混合,混合型-偏股,XINGQUANJINGXUANHUNHE
16263,163412,XQQZCHHLOF,兴全轻资产混合(LOF),混合型-偏股,XINGQUANQINGZICHANHUNHELOF
16264,163413,XQQZCHHLOF,兴全轻资产混合(LOF)(后端),混合型-偏股,XINGQUANQINGZICHANHUNHELOF
16265,163415,XQSYMSYXHH,兴全商业模式优选混合,混合型-偏股,XINGQUANSHANGYEMOSHIYOUXUANHUNHE
16266,163416,XQSYMSYXHH,兴全商业模式优选混合(后端),混合型-偏股,XINGQUANSHANGYEMOSHIYOUXUANHUNHE
16267,163417,XQHYHHLOFA,兴全合宜混合(LOF)A,混合型-灵活,XINGQUANHEYIHUNHELOFA
16268,163418,XQHXHHA,兴全合兴混合A,混合型-偏股,XINGQUANHEXINGHUNHEA
16269,163503,TZHXCZHHLOF,天治核心成长混合(LOF),混合型-偏股,TIANZHIHEXINCHENGZHANGHUNHELOF
16270,163801,ZYZGHHLOFA,中银中国混合(LOF)A,混合型-灵活,ZHONGYINZHONGGUOHUNHELOFA
16271,163802,ZYHBA,中银货币A,货币型,ZHONGYINHUOBIA
16272,163803,ZYCXZZHHA,中银持续增长混合A,混合型-偏股,ZHONGYINCHIXUZENGZHANGHUNHEA
16273,163804,ZYSYHHA,中银收益混合A,混合型-灵活,ZHONGYINSHOUYIHUNHEA
16274,163805,ZYDTCLHHA,中银动态策略混合A,混合型-偏股,ZHONGYINDONGTAICELUEHUNHEA
16275,163806,ZYZLZQ,中银增利债券,债券型-混合债,ZHONGYINZENGLIZHAIQUAN
16276,163807,ZYYXLHPZHHA,中银优选灵活配置混合A,混合型-灵活,ZHONGYINYOUXUANLINGHUOPEIZHIHUNHEA
16277,163808,ZYZZ100ZSZQ,中银中证100指数增强,指数型-股票,ZHONGYINZHONGZHENG100ZHISHUZENGQIANG
16278,163809,ZYLCHH,中银蓝筹混合,混合型-灵活,ZHONGYINLANCHOUHUNHE
16279,163810,ZYJZHH,中银价值混合,混合型-灵活,ZHONGYINJIAZHIHUNHE
16280,163811,ZYSLZQA,中银双利债券A,债券型-混合债,ZHONGYINSHUANGLIZHAIQUANA
16281,163812,ZYSLZQB,中银双利债券B,债券型-混合债,ZHONGYINSHUANGLIZHAIQUANB
16282,163813,ZYQQCL,中银全球策略,QDII,ZHONGYINQUANQIUCELUE
16283,163816,ZYZZZQZQA,中银转债增强债券A,债券型-可转债,ZHONGYINZHUANZHAIZENGQIANGZHAIQUANA
16284,163817,ZYZZZQZQB,中银转债增强债券B,债券型-可转债,ZHONGYINZHUANZHAIZENGQIANGZHAIQUANB
16285,163818,ZYZXPCZHH,中银中小盘成长混合,混合型-偏股,ZHONGYINZHONGXIAOPANCHENGZHANGHUNHE
16286,163819,ZYXYZLZQLOFA,中银信用增利债券(LOF)A,债券型-混合债,ZHONGYINXINYONGZENGLIZHAIQUANLOFA
16287,163820,ZYHBB,中银货币B,货币型,ZHONGYINHUOBIB
16288,163821,ZYHS300DQZZS,中银沪深300等权重指数,指数型-股票,ZHONGYINHUSHEN300DENGQUANZHONGZHISHU
16289,163822,ZYZTCLHHA,中银主题策略混合A,混合型-偏股,ZHONGYINZHUTICELUEHUNHEA
16290,163823,ZYWJCLHH,中银稳健策略混合,混合型-灵活,ZHONGYINWENJIANCELUEHUNHE
16291,163825,ZYHLBNDKZ,中银互利半年定开债,债券型-长债,ZHONGYINHULIBANNIANDINGKAIZHAI
16292,163827,ZYCYZZQA,中银产业债债券A,债券型-混合债,ZHONGYINCHANYEZHAIZHAIQUANA
16293,163907,ZHHYCZFQS,中海惠裕纯债发起式,债券型-长债,ZHONGHAIHUIYUCHUNZHAIFAQISHI
16294,164105,HFQHHBZQLOF,华富强化回报债券(LOF),债券型-混合债,HUAFUQIANGHUAHUIBAOZHAIQUANLOF
16295,164205,THWHXXCYGPA,天弘文化新兴产业股票A,股票型,TIANHONGWENHUAXINXINGCHANYEGUPIAOA
16296,164206,THTLZQLOFC,天弘添利债券(LOF)C,债券型-混合债,TIANHONGTIANLIZHAIQUANLOFC
16297,164208,THFLZQLOFE,天弘丰利债券(LOF)E,债券型-混合债,TIANHONGFENGLIZHAIQUANLOFE
16298,164210,THTLZQLOFC,天弘同利债券(LOF)C,债券型-混合债,TIANHONGTONGLIZHAIQUANLOFC
16299,164212,THQQXNYQCGPQDIILOFA,天弘全球新能源汽车股票(QDII-LOF)A,QDII,TIANHONGQUANQIUXINNENGYUANQICHEGUPIAOQDIILOFA
16300,164304,XHZZHBCYZS,新华中证环保产业指数,指数型-股票,XINHUAZHONGZHENGHUANBAOCHANYEZHISHU
16301,164401,QHKYZZJKCYZS,前海开源中证健康产业指数,指数型-股票,QIANHAIKAIYUANZHONGZHENGJIANKANGCHANYEZHISHU
16302,164402,QHKYZHJGZSA,前海开源中航军工指数A,指数型-股票,QIANHAIKAIYUANZHONGHANGJUNGONGZHISHUA
16303,164403,QHKYHGSNYHHA,前海开源沪港深农业混合A,混合型-灵活,QIANHAIKAIYUANHUGANGSHENNONGYEHUNHEA
16304,164508,GFZZ100ZSZQLOF,国富中证100指数增强(LOF),指数型-股票,GUOFUZHONGZHENG100ZHISHUZENGQIANGLOF
16305,164509,GFHLZQLOFA,国富恒利债券(LOF)A,债券型-长债,GUOFUHENGLIZHAIQUANLOFA
16306,164510,GFHLZQLOFC,国富恒利债券(LOF)C,债券型-长债,GUOFUHENGLIZHAIQUANLOFC
16307,164606,HTBRXYZLZLOFA,华泰柏瑞信用增利债(LOF)A,债券型-混合债,HUATAIBAIRUIXINYONGZENGLIZHAILOFA
16308,164701,HTFHJJGJS,汇添富黄金及贵金属,QDII,HUITIANFUHUANGJINJIGUIJINSHU
16309,164702,HTFJJHDKZ,汇添富季季红定开债,债券型-混合债,HUITIANFUJIJIHONGDINGKAIZHAI
16310,164703,HTFCZZQLOF,汇添富纯债债券(LOF),债券型-长债,HUITIANFUCHUNZHAIZHAIQUANLOF
16311,164705,HTFHSZSA,汇添富恒生指数A,QDII,HUITIANFUHENGSHENGZHISHUA
16312,164808,GYSJSYZQA,工银四季收益债券A,债券型-混合债,GONGYINSIJISHOUYIZHAIQUANA
16313,164809,GYZZ500ETFLJA,工银中证500ETF联接A,指数型-股票,GONGYINZHONGZHENG500ETFLIANJIEA
16314,164810,GYCZDKZ,工银纯债定开债,债券型-长债,GONGYINCHUNZHAIDINGKAIZHAI
16315,164811,GYZZJJJXTFZZSA,工银中证京津冀协同发展指数A,指数型-股票,GONGYINZHONGZHENGJINGJINJIXIETONGFAZHANZHISHUA
16316,164814,GYSZZQZQ,工银双债增强债券,债券型-混合债,GONGYINSHUANGZHAIZENGQIANGZHAIQUAN
16317,164818,GYZZCMZSLOFA,工银中证传媒指数(LOF)A,指数型-股票,GONGYINZHONGZHENGCHUANMEIZHISHULOFA
16318,164824,GYYDJJRMB,工银印度基金人民币,QDII,GONGYINYINDUJIJINRENMINBI
16319,164825,GYZZJJJXTFZZSC,工银中证京津冀协同发展指数C,指数型-股票,GONGYINZHONGZHENGJINGJINJIXIETONGFAZHANZHISHUC
16320,164826,GYCYBLNDKHHA,工银创业板两年定开混合A,混合型-偏股,GONGYINCHUANGYEBANLIANGNIANDINGKAIHUNHEA
16321,164902,JYXYTLZQLOF,交银信用添利债券(LOF),债券型-混合债,JIAOYINXINYONGTIANLIZHAIQUANLOF
16322,164903,JYXYTLZQLOF,交银信用添利债券(LOF)(后端),债券型-混合债,JIAOYINXINYONGTIANLIZHAIQUANLOF
16323,164905,JYGZXNYZSLOFA,交银国证新能源指数(LOF)A,指数型-股票,JIAOYINGUOZHENGXINNENGYUANZHISHULOFA
16324,164906,JYZZHWZGHLWZS,交银中证海外中国互联网指数,QDII,JIAOYINZHONGZHENGHAIWAIZHONGGUOHULIANWANGZHISHU
16325,164908,JYZZHJZLLOFA,交银中证环境治理(LOF)A,指数型-股票,JIAOYINZHONGZHENGHUANJINGZHILILOFA
16326,165309,JXHS300ZSLOF,建信沪深300指数(LOF),指数型-股票,JIANXINHUSHEN300ZHISHULOF
16327,165310,JXHS300ZSZQLOFA,建信沪深300指数增强(LOF)A,指数型-股票,JIANXINHUSHEN300ZHISHUZENGQIANGLOFA
16328,165311,JXXYZQZQLOFA,建信信用增强债券(LOF)A,债券型-混合债,JIANXINXINYONGZENGQIANGZHAIQUANLOFA
16329,165312,JXYSCJ50ZSLOF,建信央视财经50指数(LOF),指数型-股票,JIANXINYANGSHICAIJING50ZHISHULOF
16330,165313,JXYSDLHHLOF,建信优势动力混合(LOF),混合型-偏股,JIANXINYOUSHIDONGLIHUNHELOF
16331,165314,JXXYZQZQLOFC,建信信用增强债券(LOF)C,债券型-混合债,JIANXINXINYONGZENGQIANGZHAIQUANLOFC
16332,165317,JXFYDCLHHLOF,建信丰裕多策略混合(LOF),混合型-灵活,JIANXINFENGYUDUOCELUEHUNHELOF
16333,165508,XCSDJZHHLOF,信诚深度价值混合(LOF),混合型-偏股,XINCHENGSHENDUJIAZHIHUNHELOF
16334,165509,XCZQSYZQLOF,信诚增强收益债券(LOF),债券型-混合债,XINCHENGZENGQIANGSHOUYIZHAIQUANLOF
16335,165510,XCSGPZ,信诚四国配置,QDII,XINCHENGSIGUOPEIZHI
16336,165511,ZXBCZZ500ZSLOFA,中信保诚中证500指数(LOF)A,指数型-股票,ZHONGXINBAOCHENGZHONGZHENG500ZHISHULOFA
16337,165512,XCXJYHHLOF,信诚新机遇混合(LOF),混合型-偏股,XINCHENGXINJIYUHUNHELOF
16338,165513,XCQQSPZT,信诚全球商品主题,QDII,XINCHENGQUANQIUSHANGPINZHUTI
16339,165515,XCHS300ZSLOFA,信诚沪深300指数(LOF)A,指数型-股票,XINCHENGHUSHEN300ZHISHULOFA
16340,165516,XCZQLDHHLOFA,信诚周期轮动混合(LOF)A,混合型-偏股,XINCHENGZHOUQILUNDONGHUNHELOFA
16341,165517,XCSYZQLOF,信诚双盈债券(LOF),债券型-混合债,XINCHENGSHUANGYINGZHAIQUANLOF
16342,165519,XCZZ800YYZSLOFA,信诚中证800医药指数(LOF)A,指数型-股票,XINCHENGZHONGZHENG800YIYAOZHISHULOFA
16343,165520,XCZZ800YSZSLOFA,信诚中证800有色指数(LOF)A,指数型-股票,XINCHENGZHONGZHENG800YOUSEZHISHULOFA
16344,165521,XCZZ800JRLOFA,信诚中证800金融(LOF)A,指数型-股票,XINCHENGZHONGZHENG800JINRONGLOFA
16345,165522,XCZZTMTCYZTZSLOFA,信诚中证TMT产业主题指数(LOF)A,指数型-股票,XINCHENGZHONGZHENGTMTCHANYEZHUTIZHISHULOFA
16346,165523,XCZZXXAQZSLOFA,信诚中证信息安全指数(LOF)A,指数型-股票,XINCHENGZHONGZHENGXINXIANQUANZHISHULOFA
16347,165524,XCZZZNJJZSLOFA,信诚中证智能家居指数(LOF)A,指数型-股票,XINCHENGZHONGZHENGZHINENGJIAJUZHISHULOFA
16348,165525,XCZZJJGCZSLOFA,信诚中证基建工程指数(LOF)A,指数型-股票,XINCHENGZHONGZHENGJIJIANGONGCHENGZHISHULOFA
16349,165526,XCXWHHLOFA,信诚新旺混合(LOF)A,混合型-灵活,XINCHENGXINWANGHUNHELOFA
16350,165527,XCXWHHLOFC,信诚新旺混合(LOF)C,混合型-灵活,XINCHENGXINWANGHUNHELOFC
16351,165528,XCDLHHLOFA,信诚鼎利混合(LOF)A,混合型-灵活,XINCHENGDINGLIHUNHELOFA
16352,165530,ZXBCHZ18GYDKZQ,中信保诚惠泽18个月定开债券,债券型-混合债,ZHONGXINBAOCHENGHUIZE18GEYUEDINGKAIZHAIQUAN
16353,165531,XCDCLLHPZHH,信诚多策略灵活配置混合,混合型-灵活,XINCHENGDUOCELUELINGHUOPEIZHIHUNHE
16354,165806,DWHS300ZSA,东吴沪深300指数A,指数型-股票,DONGWUHUSHEN300ZHISHUA
16355,165810,DWHS300ZSC,东吴沪深300指数C,指数型-股票,DONGWUHUSHEN300ZHISHUC
16356,166001,ZOXQSHHA,中欧新趋势混合A,混合型-偏股,ZHONGOUXINQUSHIHUNHEA
16357,166002,ZOXLCHHA,中欧新蓝筹混合A,混合型-偏股,ZHONGOUXINLANCHOUHUNHEA
16358,166005,ZOJZFXHHA,中欧价值发现混合A,混合型-偏股,ZHONGOUJIAZHIFAXIANHUNHEA
16359,166006,ZOHYCZHHLOFA,中欧行业成长混合(LOF)A,混合型-偏股,ZHONGOUHANGYECHENGZHANGHUNHELOFA
16360,166007,ZOHTJXHHA,中欧互通精选混合A,混合型-偏股,ZHONGOUHUTONGJINGXUANHUNHEA
16361,166008,ZOZQHBZQLOFA,中欧增强回报债券(LOF)A,债券型-混合债,ZHONGOUZENGQIANGHUIBAOZHAIQUANLOFA
16362,166009,ZOXDLHHLOFA,中欧新动力混合(LOF)A,混合型-偏股,ZHONGOUXINDONGLIHUNHELOFA
16363,166010,ZODLZQA,中欧鼎利债券A,债券型-混合债,ZHONGOUDINGLIZHAIQUANA
16364,166011,ZOSSCZHHLOFA,中欧盛世成长混合(LOF)A,混合型-偏股,ZHONGOUSHENGSHICHENGZHANGHUNHELOFA
16365,166014,ZOHBA,中欧货币A,货币型,ZHONGOUHUOBIA
16366,166015,ZOHBB,中欧货币B,货币型,ZHONGOUHUOBIB
16367,166016,ZOCZZQLOFC,中欧纯债债券(LOF)C,债券型-长债,ZHONGOUCHUNZHAIZHAIQUANLOFC
16368,166019,ZOJZZXHHA,中欧价值智选混合A,混合型-灵活,ZHONGOUJIAZHIZHIXUANHUNHEA
16369,166020,ZOCZYXHHA,中欧成长优选混合A,混合型-灵活,ZHONGOUCHENGZHANGYOUXUANHUNHEA
16370,166023,ZORFLHPZHHLOFA,中欧瑞丰灵活配置混合(LOF)A,混合型-灵活,ZHONGOURUIFENGLINGHUOPEIZHIHUNHELOFA
16371,166024,ZOHLSNDQKFHH,中欧恒利三年定期开放混合,混合型-偏股,ZHONGOUHENGLISANNIANDINGQIKAIFANGHUNHE
16372,166025,ZOYJLNDKHHA,中欧远见两年定开混合A,混合型-偏股,ZHONGOUYUANJIANLIANGNIANDINGKAIHUNHEA
16373,166027,ZOCYBLNDKHHA,中欧创业板两年定开混合A,混合型-偏股,ZHONGOUCHUANGYEBANLIANGNIANDINGKAIHUNHEA
16374,166105,XAXAZQLOF,信澳鑫安债券(LOF),债券型-混合债,XINAOXINANZHAIQUANLOF
16375,166107,XALHDYZHHLOFA,信澳量化多因子混合(LOF)A,混合型-偏股,XINAOLIANGHUADUOYINZIHUNHELOFA
16376,166108,XALHDYZHHLOFC,信澳量化多因子混合(LOF)C,混合型-偏股,XINAOLIANGHUADUOYINZIHUNHELOFC
16377,166109,XALHXFLOFA,信澳量化先锋(LOF)A,混合型-偏股,XINAOLIANGHUAXIANFENGLOFA
16378,166110,XALHXFLOFC,信澳量化先锋(LOF)C,混合型-偏股,XINAOLIANGHUAXIANFENGLOFC
16379,166301,HSXQSYXLHPZHH,华商新趋势优选灵活配置混合,混合型-灵活,HUASHANGXINQUSHIYOUXUANLINGHUOPEIZHIHUNHE
16380,166401,PYASWJZLZQC,浦银安盛稳健增利债券C,债券型-混合债,PUYINANSHENGWENJIANZENGLIZHAIQUANC
