,基金代码,拼音缩写,基金简称,基金类型,拼音全称
3385,004914,ZYZQJRHHC,中银证券聚瑞混合C,混合型-偏债,ZHONGYINZHENGQUANJURUIHUNHEC
3386,004916,JSXTFDQHH,嘉实新添丰定期混合,混合型-偏债,JIASHIXINTIANFENGDINGQIHUNHE
3387,004919,XQXTDQKFZQ,兴全兴泰定期开放债券,债券型-长债,XINGQUANXINGTAIDINGQIKAIFANGZHAIQUAN
3388,004920,FGHLCZFQSA,富国泓利纯债发起式A,债券型-长债,FUGUOHONGLICHUNZHAIFAQISHIA
3389,004921,HXDRSGYDKZA,华夏鼎瑞三个月定开债A,债券型-长债,HUAXIADINGRUISANGEYUEDINGKAIZHAIA
3390,004922,HXDRSGYDKZC,华夏鼎瑞三个月定开债C,债券型-长债,HUAXIADINGRUISANGEYUEDINGKAIZHAIC
3391,004923,HXDXSGYDKZA,华夏鼎祥三个月定开债A,债券型-长债,HUAXIADINGXIANGSANGEYUEDINGKAIZHAIA
3392,004924,HXDXSGYDKZC,华夏鼎祥三个月定开债C,债券型-长债,HUAXIADINGXIANGSANGEYUEDINGKAIZHAIC
3393,004925,CXDTHBHYLHGPA,长信低碳环保行业量化股票A,股票型,CHANGXINDITANHUANBAOHANGYELIANGHUAGUPIAOA
3394,004926,ZHJMRHJXA,中航军民融合精选A,混合型-偏股,ZHONGHANGJUNMINRONGHEJINGXUANA
3395,004927,ZHJMRHJXC,中航军民融合精选C,混合型-偏股,ZHONGHANGJUNMINRONGHEJINGXUANC
3396,004928,HRYDXXHHA,华润元大欣享混合A,混合型-偏债,HUARUNYUANDAXINXIANGHUNHEA
3397,004929,HRYDXXHHC,华润元大欣享混合C,混合型-偏债,HUARUNYUANDAXINXIANGHUNHEC
3398,004930,HRYDJZYXA,华润元大价值优选A,混合型-偏股,HUARUNYUANDAJIAZHIYOUXUANA
3399,004931,HRYDJZYXC,华润元大价值优选C,混合型-偏股,HUARUNYUANDAJIAZHIYOUXUANC
3400,004932,ZSFTLHHHA,招商丰拓灵活混合A,混合型-灵活,ZHAOSHANGFENGTUOLINGHUOHUNHEA
3401,004933,ZSFTLHHHC,招商丰拓灵活混合C,混合型-灵活,ZHAOSHANGFENGTUOLINGHUOHUNHEC
3402,004934,YXYFXFSJ,圆信永丰消费升级,混合型-灵活,YUANXINYONGFENGXIAOFEISHENGJI
3403,004936,ZHHGJXHHA,中航混改精选混合A,混合型-偏股,ZHONGHANGHUNGAIJINGXUANHUNHEA
3404,004937,ZHHGJXHHC,中航混改精选混合C,混合型-偏股,ZHONGHANGHUNGAIJINGXUANHUNHEC
3405,004938,ZOGQBHBB,中欧滚钱宝货币B,货币型,ZHONGOUGUNQIANBAOHUOBIB
3406,004939,ZOGQBHBC,中欧滚钱宝货币C,货币型,ZHONGOUGUNQIANBAOHUOBIC
3407,004940,ZJJXCZYNDKA,中加聚鑫纯债一年定开A,债券型-长债,ZHONGJIAJUXINCHUNZHAIYINIANDINGKAIA
3408,004941,ZJJXCZYNDKC,中加聚鑫纯债一年定开C,债券型-长债,ZHONGJIAJUXINCHUNZHAIYINIANDINGKAIC
3409,004942,GLBYLHPZA,格林伯元灵活配置A,混合型-灵活,GELINBOYUANLINGHUOPEIZHIA
3410,004943,GLBYLHPZC,格林伯元灵活配置C,混合型-灵活,GELINBOYUANLINGHUOPEIZHIC
3411,004944,XYXQSLHPZHHA,鑫元鑫趋势灵活配置混合A,混合型-灵活,XINYUANXINQUSHILINGHUOPEIZHIHUNHEA
3412,004945,CXZZ500ZSZQA,长信中证500指数增强A,指数型-股票,CHANGXINZHONGZHENG500ZHISHUZENGQIANGA
3413,004946,HTFYRHHA,汇添富盈润混合A,混合型-偏债,HUITIANFUYINGRUNHUNHEA
3414,004947,HTFYRHHC,汇添富盈润混合C,混合型-偏债,HUITIANFUYINGRUNHUNHEC
3415,004948,XYXQSLHPZHHC,鑫元鑫趋势灵活配置混合C,混合型-灵活,XINYUANXINQUSHILINGHUOPEIZHIHUNHEC
3416,004952,XQHYZQA,兴全恒益债券A,债券型-混合债,XINGQUANHENGYIZHAIQUANA
3417,004953,XQHYZQC,兴全恒益债券C,债券型-混合债,XINGQUANHENGYIZHAIQUANC
3418,004954,ZYZQZGDJZQA,中银证券中高等级债券A,债券型-长债,ZHONGYINZHENGQUANZHONGGAODENGJIZHAIQUANA
3419,004955,ZYZQZGDJZQC,中银证券中高等级债券C,债券型-长债,ZHONGYINZHENGQUANZHONGGAODENGJIZHAIQUANC
3420,004956,ZYZQAYZQA,中银证券安誉债券A,债券型-长债,ZHONGYINZHENGQUANANYUZHAIQUANA
3421,004957,ZYZQAYZQC,中银证券安誉债券C,债券型-长债,ZHONGYINZHENGQUANANYUZHAIQUANC
3422,004958,YXYFYXSH,圆信永丰优享生活,混合型-灵活,YUANXINYONGFENGYOUXIANGSHENGHUO
3423,004959,YXYFYYSHHH,圆信永丰优悦生活混合,混合型-偏股,YUANXINYONGFENGYOUYUESHENGHUOHUNHE
3424,004960,PAHTDKZ,平安合泰定开债,债券型-长债,PINGANHETAIDINGKAIZHAI
3425,004964,YHHTYHBC,银华惠添益货币C,货币型,YINHUAHUITIANYIHUOBIC
3426,004965,HDZYHHA,泓德致远混合A,混合型-偏债,HONGDEZHIYUANHUNHEA
3427,004966,HDZYHHC,泓德致远混合C,混合型-偏债,HONGDEZHIYUANHUNHEC
3428,004967,HTCXHBA,红土创新货币A,货币型,HONGTUCHUANGXINHUOBIA
3429,004968,HTCXHBB,红土创新货币B,货币型,HONGTUCHUANGXINHUOBIB
3430,004970,NFTTBHBA,南方天天宝货币A,货币型,NANFANGTIANTIANBAOHUOBIA
3431,004971,NFTTBHBB,南方天天宝货币B,货币型,NANFANGTIANTIANBAOHUOBIB
