,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
116,sh000133,上证150,5467.9044,-1.317,-0.024,5469.2211,5469.7662,5470.8182,5462.464,1016536,2170891934
117,sh000134,上证银行,758.9289,3.313,0.438,755.6161,755.2252,759.28,754.7779,1912296,1226897350
118,sh000135,180高贝,5758.365,5.778,0.1,5752.5874,5744.0683,5758.365,5737.9033,1766014,4636464306
119,sh000136,180低贝,11655.4573,-7.402,-0.063,11662.8595,11620.693,11658.8624,11611.9728,5404777,5782329644
120,sh000137,380高贝,5071.9366,-3.293,-0.065,5075.2301,5066.3953,5073.2446,5061.0828,933662,1899833929
121,sh000138,380低贝,6885.0115,-4.252,-0.062,6889.2632,6888.1206,6888.1206,6876.2758,1781020,1690733566
122,sh000139,上证转债,356.6564,-0.014,-0.004,356.67,356.6945,356.9371,356.6194,561837,845269835
123,sh000141,380动态,3811.6499,-13.974,-0.365,3825.6236,3816.7954,3816.7954,3809.4938,2147321,3738767356
124,sh000142,380稳定,8812.298,-10.639,-0.121,8822.9371,8815.2233,8817.093,8797.466,2725473,3166315908
125,sh000145,优势资源,5551.7969,7.388,0.133,5544.4093,5535.8959,5551.7969,5525.1668,1553488,1682992647
126,sh000146,优势制造,7974.0872,31.392,0.395,7942.6953,7941.6276,7974.0872,7935.7815,672312,1824636362
127,sh000147,优势消费,8985.6176,12.135,0.135,8973.4824,8981.9962,8994.1269,8957.5133,362843,1537980547
128,sh000148,消费领先,9741.8415,7.012,0.072,9734.83,9707.2618,9742.7452,9697.4915,4338252,9273809545
129,sh000149,180红利,3339.3272,6.168,0.185,3333.1592,3328.3442,3341.1221,3325.0226,3186879,2722313868
130,sh000150,380红利,11643.3121,-50.941,-0.436,11694.2533,11682.1229,11683.4797,11635.3896,613658,437237938
131,sh000151,上国红利,1480.1537,-4.139,-0.279,1484.2929,1482.2266,1482.2266,1477.54,1691189,921932643
132,sh000152,上央红利,2388.6039,-1.117,-0.047,2389.7208,2386.1206,2389.2492,2381.9736,3045742,1860732705
133,sh000153,上民红利,3127.7156,-2.153,-0.069,3129.8686,3133.9894,3133.9894,3122.7443,243959,277099926
134,sh000155,市值百强,2903.7745,2.003,0.069,2901.7717,2891.4654,2903.8291,2889.7596,6843896,12673376507
135,sh000158,上证环保,1881.4511,7.856,0.419,1873.5952,1872.3515,1881.4511,1871.4463,538438,1280365968
136,sh000159,沪股通,3281.8807,-1.947,-0.059,3283.8272,3276.3386,3281.901,3273.7923,22978324,31154225375
137,sh000160,沪新丝路,2003.3359,-3.811,-0.19,2007.1468,2002.7501,2003.4357,1999.6216,4072780,3576811250
138,sh000161,沪中国造,1996.0283,6.547,0.329,1989.4813,1986.8586,1996.0283,1985.3003,1932514,5520190645
139,sh000162,沪互联+,3464.1256,-13.8,-0.397,3477.9259,3467.8399,3468.5085,3456.1666,1458250,3933511283
140,sh000170,50AH优选,5232.8603,6.887,0.132,5225.9735,5211.7672,5233.7741,5208.7525,2253109,4369595940
141,sh000300,沪深300,4157.6184,8.235,0.198,4149.3836,4139.3088,4157.8625,4138.4618,13364926,28497614342
142,sh000682,科创信息,1341.0239,-10.268,-0.76,1351.2922,1336.838,1344.7937,1335.5576,314042,3678359020
143,sh000683,科创生物,1241.9502,-5.103,-0.409,1247.0529,1245.3614,1245.3614,1238.0456,81424,490616212
144,sh000687,科创高装,1202.2453,-2.756,-0.229,1205.0014,1204.3415,1204.3649,1200.6072,172875,398489038
145,sh000688,科创50,1136.4518,-3.678,-0.323,1140.1303,1130.8127,1137.8301,1129.7554,1550290,8558663712
146,sh000689,科创材料,1313.3956,-1.05,-0.08,1314.4452,1313.3247,1314.311,1309.7352,131340,482420557
147,sh000690,科创成长,1316.5813,-2.285,-0.173,1318.8659,1317.1657,1319.6607,1314.2936,197647,1233884736
148,sh000692,科创新能,2017.5963,12.509,0.624,2005.0871,2004.7831,2022.7048,2001.6616,122281,555901545
149,sh000693,科创机械,1371.846,-4.899,-0.356,1376.7447,1373.8899,1373.8899,1368.7166,200936,484875272
150,sh000695,科长三角,1092.7962,-5.829,-0.531,1098.6248,1089.9348,1094.1139,1088.3508,189596,1812380701
151,sh000697,科大湾区,1135.3279,-6.792,-0.595,1142.1202,1134.07,1136.7976,1130.1245,161311,589916581
152,sh000802,500沪市,6995.6725,-10.992,-0.157,7006.6647,6996.2102,6996.2102,6979.1261,5670128,5940192435
153,sh000819,有色金属,6053.9627,40.406,0.672,6013.557,6007.2226,6053.9627,6000.9769,1741835,4088767158
154,sh000823,800有色,6668.8408,35.242,0.531,6633.5989,6626.6845,6668.8408,6615.5946,1590364,3356145932
155,sh000827,中证环保,2073.5947,20.574,1.002,2053.0203,2053.0411,2073.5947,2052.5473,1385965,4998560753
156,sh000847,腾讯济安,3097.3983,0.229,0.007,3097.1694,3095.6572,3097.443,3092.3039,4192375,6856869636
157,sh000849,300非银,8611.6734,50.624,0.591,8561.0496,8527.8619,8611.6734,8520.6143,2353631,3447774400
158,sh000851,百发100,14758.7227,-37.995,-0.257,14796.718,14783.7354,14783.7354,14743.5597,1858871,3776282859
159,sh000852,中证1000,6996.8966,-15.876,-0.226,7012.773,7002.2564,7002.2564,6987.6384,13927438,17844652037
160,sh000853,CSSW丝路,1619.9183,4.706,0.291,1615.2128,1611.8011,1619.9183,1610.7544,3463259,5834797334
161,sh000854,500原料,4762.0833,0.54,0.011,4761.5437,4761.8945,4762.0833,4747.2714,2002620,2774064929
162,sh000855,央视500,1464.6996,1.808,0.124,1462.8919,1459.3582,1464.7007,1459.1006,15788959,33656461209
163,sh000856,500工业,6308.472,6.944,0.11,6301.5281,6296.0647,6308.472,6286.2604,2117419,2329722419
164,sh000857,500医药,13416.3791,-55.107,-0.409,13471.4861,13454.8705,13457.192,13373.516,399743,1068394734
165,sh000858,500信息,7787.5079,-47.783,-0.61,7835.2909,7786.2256,7803.1175,7763.448,961303,2416361507
166,sh000860,结构调整,1240.3157,-1.671,-0.135,1241.9865,1239.4427,1240.8711,1237.7574,4383740,5563641774
167,sh000865,上海国企,1307.3052,1.44,0.11,1305.8647,1306.7728,1308.9297,1305.6304,904283,977743624
168,sh000867,港中小企,2447.6245,-5.395,-0.22,2453.0196,2446.5589,2447.6245,2442.0661,2398955,558602575
169,sh000869,HK银行,2793.8276,-4.245,-0.152,2798.0724,2791.4365,2794.5881,2783.3682,947085,589798392
170,sh000891,新兴综指,1579.4139,-1.52,-0.096,1580.9339,1576.2528,1579.909,1575.6839,21089111,45382162507
171,sh000901,小康指数,5780.4303,-12.327,-0.213,5792.7574,5770.8977,5781.3943,5763.864,6462568,8871766184
172,sh000903,中证100,4028.9833,8.645,0.215,4020.338,4008.1947,4029.2874,4007.1373,6075342,15554042545
173,sh000905,中证500,6446.9145,-12.325,-0.191,6459.2396,6448.7565,6448.7565,6433.6063,10795006,14201961526
174,sh000906,中证800,4540.3459,4.423,0.098,4535.9232,4525.857,4540.3969,4524.7125,24159932,42699575869
175,sh000913,300医药,10846.7967,-82.237,-0.752,10929.0333,10825.3901,10872.8207,10798.3406,305796,2160202197
176,sh000914,300金融,5441.0245,25.12,0.464,5415.905,5405.266,5441.8669,5400.6449,4423312,5011000182
177,sh000928,中证能源,2726.9305,0.431,0.016,2726.4996,2722.132,2727.2947,2714.6308,1315183,929385380
178,sh000932,中证消费,21072.3397,52.355,0.249,21019.9851,21020.4577,21077.327,20990.7243,363648,1703939533
179,sh000933,中证医药,10671.59,-67.689,-0.63,10739.2793,10668.2165,10692.8262,10628.344,707978,3234701662
180,sh000934,中证金融,5135.9597,22.151,0.433,5113.8085,5104.95,5136.8353,5100.4463,6011536,5953582485
181,sh000935,中证信息,4807.5079,-27.734,-0.574,4835.2423,4798.5552,4815.138,4793.174,3125203,10453645689
182,sh000974,800金融,5486.4243,28.615,0.524,5457.8095,5447.7648,5486.4243,5443.8213,5501973,5595109821
183,sh000982,500等权,7888.6918,-18.989,-0.24,7907.6812,7896.7398,7896.7398,7875.7828,10795006,14201961526
184,sh000986,全指能源,2329.2744,-3.266,-0.14,2332.5406,2327.9432,2329.2744,2320.5003,2830953,1700232814
185,sh000987,全指材料,3898.1263,12.84,0.33,3885.286,3883.3379,3898.1263,3880.34,3185004,5777769198
186,sh000989,全指可选,4864.4343,11.944,0.246,4852.4902,4854.8209,4867.2791,4853.3466,1100522,2393337894
187,sh000991,全指医药,11526.5248,-73.897,-0.637,11600.4221,11524.1442,11550.3062,11480.1225,748549,3517833174
188,sh000992,全指金融,4933.9791,20.431,0.416,4913.5483,4905.6635,4934.6177,4901.4944,7915933,7272389636
189,sh000993,全指信息,6370.3753,-37.607,-0.587,6407.9823,6359.1655,6381.0714,6351.4761,3271517,11045962076
190,sz399001,深证成指,11876.639,21.155,0.178,11855.484,11834.771,11879.648,11834.185,3504732667,51428599809
191,sz399002,深成指R,15110.62,27.831,0.185,15082.789,15057.352,15114.448,15056.605,1203799672,25705287769
192,sz399003,成份Ｂ指,8157.376,-28.544,-0.349,8185.92,8177.049,8179.675,8130.907,694063,2822833
193,sz399004,深证100R,7149.029,29.855,0.419,7119.174,7106.081,7150.891,7105.94,366237667,11593847812
194,sz399005,中小100,7837.918,22.281,0.285,7815.637,7796.656,7840.441,7793.157,268222424,7433975680
195,sz399006,创业板指,2442.081,7.639,0.314,2434.442,2428.183,2443.058,2428.183,1149688040,21678392416
196,sz399007,深证300,5037.354,11.972,0.238,5025.382,5015.944,5038.775,5015.595,785206793,20334998392
197,sz399008,中小300,1527.746,1.471,0.096,1526.275,1522.977,1528.121,1522.498,619481505,11878381518
198,sz399009,深证200,4331.621,-5.266,-0.121,4336.887,4329.352,4333.042,4321.455,418969126,8741150580
199,sz399010,深证700,7548.727,-17.696,-0.234,7566.423,7558.058,7558.461,7535.009,1183521950,15072471030
200,sz399011,深证1000,5731.008,5.235,0.091,5725.773,5716.395,5732.567,5716.118,1968728743,35407469422
201,sz399012,创业300,3523.069,4.6,0.131,3518.469,3510.474,3525.085,3510.474,500315994,12463942985
202,sz399013,深市精选,5212.164,4.535,0.087,5207.629,5200.021,5214.05,5199.122,1146394455,20485805525
203,sz399015,中小创新,2548.697,-7.437,-0.291,2556.134,2553.175,2553.465,2544.175,764929071,9702181653
204,sz399016,深证创新,4771.62,-10.055,-0.21,4781.675,4764.608,4776.167,4760.058,245099871,8516734603
205,sz399017,SME创新,3967.668,-2.287,-0.058,3969.955,3959.092,3968.676,3956.858,170319432,5029472412
206,sz399018,创业创新,4786.763,-18.585,-0.387,4805.348,4787.701,4792.863,4774.165,144519918,5765828520
207,sz399030,碳科技30,3841.505,40.487,1.065,3801.018,3803.475,3841.505,3803.475,47847900,2925554338
208,sz399050,创新引擎,2761.5,3.623,0.131,2757.877,2755.832,2763.39,2755.007,87017087,1759983198
209,sz399060,碳科技60,3036.196,28.951,0.963,3007.245,3006.75,3036.886,3005.958,116811409,6026259724
210,sz399088,深创100,3771.42,16.131,0.43,3755.289,3747.368,3772.558,3747.368,248097574,9798297177
211,sz399100,新指数,9932.52,-0.296,-0.003,9932.816,9919.264,9934.757,9912.889,3336151540,50378537559
212,sz399101,中小综指,12458.338,-3.516,-0.028,12461.854,12439.985,12461.741,12432.618,1345322043,18174392881
213,sz399102,创业板综,2962.226,-0.526,-0.018,2962.752,2956.875,2963.198,2955.572,1149688040,21678392416
214,sz399103,乐富指数,7552.601,-6.833,-0.09,7559.434,7546.904,7554.594,7539.68,1436643396,1522360939
215,sz399106,深证综指,2140.988,-0.414,-0.019,2141.402,2138.272,2141.378,2136.813,3504732667,51428599809
216,sz399107,深证Ａ指,2239.888,-0.422,-0.019,2240.31,2237.032,2240.299,2235.521,3503729344,51423973921
217,sz399108,深证Ｂ指,1182.402,-4.292,-0.362,1186.694,1186.082,1186.082,1180.051,1003323,4625888
218,sz399231,农林指数,1501.614,-3.108,-0.207,1504.722,1500.67,1506.906,1496.188,28912744,409673524
219,sz399232,采矿指数,2785.044,4.28,0.154,2780.764,2779.951,2785.285,2772.549,58180623,678844023
220,sz399233,制造指数,2696.647,2.998,0.111,2693.649,2689.973,2697.138,2689.487,1664280806,30724870089
221,sz399234,水电指数,880.549,-1.613,-0.183,882.162,882.662,883.174,880.168,51638039,331490492
222,sz399235,建筑指数,1218.381,-8.067,-0.658,1226.448,1224.031,1224.254,1216.568,105685969,1268582705
223,sz399236,批零指数,1369.471,-4.119,-0.3,1373.59,1372.525,1374.257,1367.634,76079755,754791431
224,sz399237,运输指数,1228.148,11.323,0.931,1216.825,1218.677,1230.368,1218.24,47168904,491259530
225,sz399238,餐饮指数,2345.777,-36.461,-1.531,2382.238,2365.102,2382.107,2345.777,12967036,186224952
226,sz399239,IT指数,1957.933,-14.392,-0.73,1972.325,1966.22,1968.218,1950.09,551186180,8263933828
227,sz399240,金融指数,1261.745,4.217,0.335,1257.528,1255.23,1261.972,1252.837,254409341,2698578969
228,sz399241,地产指数,1778.457,-2.967,-0.167,1781.424,1779.135,1780.619,1773.548,98000592,486696493
229,sz399242,商务指数,1093.876,-7.549,-0.685,1101.425,1101.657,1103.044,1092.569,110452928,862996690
230,sz399243,科研指数,1742.393,-15.13,-0.861,1757.523,1746.669,1749.422,1732.757,53581755,874108417
231,sz399244,公共指数,616.686,-3.069,-0.495,619.755,619.266,619.377,616.686,41979945,424027223
232,sz399248,文化指数,980.9,-15.417,-1.547,996.317,996.065,997.056,979.512,146728624,1446762769
233,sz399249,综企指数,1137.618,-6.524,-0.57,1144.142,1144.665,1145.616,1137.618,2782700,28726168
234,sz399262,数字经济,1987.436,-12.715,-0.636,2000.151,1988.403,1990.492,1982.606,262202407,7478172947
235,sz399263,创业数字,1796.404,-13.673,-0.755,1810.077,1802.467,1803.815,1791.14,201260417,5121976374
236,sz399264,创新技术,1557.924,-7.194,-0.46,1565.118,1556.567,1560.839,1550.942,104860632,2697669460
237,sz399265,创新药械,1486.105,-5.852,-0.392,1491.957,1486.994,1490.823,1480.363,21109690,714023260
238,sz399266,创新能源,2947.117,33.558,1.152,2913.559,2915.179,2947.117,2915.179,53540767,3176818229
